Population,Distance,AgricA,Asphalt,Churches,Schools,Tractors,MAge,Water,Cows
1450,33,3708.9825,19,9.1126528,34.701178,18.466579,30.56846,55.496407,87
668,36,3597.9794,17,8.3283563,30.091378,17.463597,33.077876,52.782534,34
1378,38,6309.2525,17,9.4819943,32.443892,19.073746,28.768631,64.020267,116
711,32,6791.6362,13,9.2663185,30.114777,21.132756,34.479812,45.749057,64
607,40,6059.4653,13,8.3547193,28.773052,18.400122,29.917203,58.505203,61
1223,34,7971.2405,19,7.6879461,31.058238,21.524046,26.899592,54.426007,129
2213,34,7648.82,22,9.7190517,27.942171,21.122874,26.687267,63.401026,257
1506,32,6356.773,14,9.0692149,28.063039,20.812152,31.20245,53.805628,132
1942,34,5349.111,17,6.9332233,40.37013,19.464944,29.28967,61.489151,147
691,37,5788.1645,14,7.145482,36.699192,18.971443,30.178069,55.427497,60
1090,34,9811.0982,14,7.8050034,47.232433,22.55058,33.830813,53.948092,133
1222,37,2962.3261,17,7.0954376,41.573648,16.417153,32.049079,60.555869,84
670,30,5981.2525,18,7.7580318,27.742869,20.935478,34.81093,41.952068,64
620,35,5189.711,9,8.3841521,29.380994,19.231457,33.398955,50.03286,52
2192,37,5802.9683,19,10.352752,23.766282,19.189332,31.128333,67.018944,181
1417,33,7612.6574,17,8.909604,23.265427,21.328185,30.820415,55.806827,166
976,34,6367.6769,15,8.0714514,41.106079,20.248182,30.636118,53.435605,79
2076,38,5042.3072,20,8.9549628,24.128571,18.23356,31.226278,67.902612,153
1586,32,5149.6966,14,8.6308105,22.918084,19.929695,33.984099,54.531364,128
782,28,7093.5467,11,7.6557835,30.915923,21.907334,33.677172,40.663332,54
2596,33,6833.3322,21,6.3032012,30.66847,20.895257,27.573197,63.261532,310
1632,30,6666.5404,14,9.4947362,27.559042,21.374547,31.878565,51.569497,164
2741,36,8209.2606,19,8.5317685,28.05919,21.139246,28.870497,69.213311,420
2392,39,7002.063,26,8.8034814,26.859233,19.586542,31.536212,71.368581,229
953,32,5823.7239,10,6.9956108,35.542488,20.469272,34.44996,48.482119,76
633,37,5949.5933,14,8.5390458,28.767019,19.354716,32.692074,53.21908,69
1355,32,6614.4758,16,10.024699,21.182753,21.002612,27.592288,52.431913,122
1176,35,6581.8267,13,11.956675,26.568564,20.361222,28.140209,55.674277,106
861,34,3886.2712,9,8.8446831,35.954578,18.424559,31.951382,51.159349,55
1804,32,7043.2998,16,8.8356262,29.402802,21.178563,30.707062,56.923254,170
2752,36,5974.426,26,8.6293898,25.427489,19.465932,25.402405,69.596601,290
1036,31,7204.5426,13,5.8829539,38.701947,21.431327,31.534771,49.139279,90
859,25,8543.5115,5,9.1667892,34.87387,23.11224,30.319675,36.340245,79
1233,34,4923.0329,17,7.1740331,29.908366,19.268069,31.02104,55.011803,96
1947,35,8142.8377,20,8.8243659,30.175215,21.351772,30.407299,62.364443,229
855,36,4787.8382,20,8.8744339,32.204359,18.626504,34.751919,54.520622,64
675,37,3461.1581,19,7.57436,25.000521,16.98097,31.597477,54.601174,57
1321,41,2111.5245,11,6.1930818,35.96993,13.432325,32.32568,68.54905,53
1361,34,6920.2092,17,9.6521113,28.101333,20.716428,31.713124,56.468407,127
1794,32,5473.8416,9,7.9982006,31.269358,20.068479,31.11413,56.895546,140
1006,34,6596.3674,13,9.0561992,32.217173,20.394795,32.147216,53.880138,99
1300,33,8216.1047,22,7.798153,26.421736,21.736031,33.527072,54.627785,155
1107,39,1493.5564,18,7.2478414,50.907562,13.713521,28.617156,63.281568,70
1350,39,3944.6612,15,8.178568,30.428321,16.826644,30.862041,64.252324,76
2801,33,7994.0516,20,9.2497201,23.578712,21.617878,29.276777,64.798753,397
999,40,6465.3305,16,9.3858479,30.220108,18.712332,29.149423,63.119664,89
607,30,7472.2304,16,8.7003475,26.847128,21.778801,31.493569,42.381446,65
1780,32,6329.5104,18,7.22504,25.475065,20.686955,30.21793,56.79035,174
828,35,6259.2365,8,7.700726,30.038686,20.123413,30.633634,52.161326,57
1435,38,7380.8299,19,10.21979,30.965614,20.10246,34.256057,63.40401,146
986,34,7159.0591,11,8.3963302,27.922995,20.95415,30.048859,52.439319,104
1836,35,8355.7848,18,8.0988193,30.539889,21.550396,32.026041,61.107541,218
1851,35,4040.0233,19,9.4055883,23.902582,18.255925,32.379815,61.53665,103
1262,35,5696.1131,17,10.503774,28.565348,19.518307,28.998785,57.623385,106
345,36,5082.0127,13,6.0297702,31.094567,18.948233,33.491489,46.776439,64
1509,33,6179.3883,14,6.9865376,39.714692,20.520072,31.116855,55.194434,115
2864,36,7800.884,18,6.9619536,24.288658,20.942819,24.884916,69.352493,431
2275,32,5784.4293,16,8.5783178,27.772775,20.300487,27.090741,60.155612,198
509,32,6998.7682,7,7.146815,39.434508,21.109988,32.344915,44.343682,55
1351,31,7593.3071,16,9.5513775,26.873421,21.814517,31.000863,50.746606,146
954,33,9500.5029,17,7.1228039,39.819849,22.583143,30.263639,50.585818,123
763,28,6528.6464,9,7.8651862,36.153451,21.565819,30.238707,40.304278,54
659,34,1661.8207,16,6.9066134,47.764414,16.05017,33.124507,49.948017,82
1632,31,6167.0882,14,7.1156109,37.264638,20.785383,28.223933,53.909944,125
1111,38,6731.3611,11,7.9555924,39.41862,19.491053,31.115132,61.251527,107
1450,35,8725.4435,8,10.068458,33.253023,21.77378,31.484124,58.245738,216
1151,39,5258.0886,14,8.9591678,30.063909,18.101189,30.311004,62.39815,79
1088,35,6493.3036,17,6.1729492,22.384336,20.284142,31.107178,54.938643,117
1698,34,6214.7158,17,7.2123518,26.620967,20.279559,29.148143,58.665113,165
2006,33,7040.7799,16,7.1571659,23.639906,21.009218,29.761667,59.725545,222
3457,35,4486.2368,23,10.650867,26.5576,18.662683,33.213954,70.934583,311
603,26,6112.437,8,8.2020703,30.641911,21.57371,29.304233,34.811774,34
764,34,3674.5712,11,8.213614,38.350884,18.069424,33.705803,51.055015,50
2294,33,7064.3806,21,8.2181181,21.66186,21.138644,32.893998,60.7033,265
1136,31,4186.2649,6,8.5492806,26.520579,19.364758,33.516854,49.261931,61
592,29,7260.9202,12,7.860885,28.830918,21.840351,32.596992,40.112419,49
1653,38,5840.0503,23,7.5982542,26.650753,18.939643,29.351853,64.827668,148
2821,36,6241.4871,23,6.789337,29.599919,19.680704,29.34979,69.954519,332
1987,38,4447.9154,20,7.7141022,31.846363,17.60729,26.898644,67.711075,116
3274,39,4955.815,21,11.052339,19.325686,17.871907,34.191446,76.21316,334
1810,31,6504.0038,17,10.438727,21.717842,21.074746,31.72493,54.722982,180
3167,35,7376.3079,23,10.004847,16.466925,20.88746,26.739543,69.333529,445
1169,34,10561.067,13,6.8886685,24.340351,23.024416,33.056641,54.146148,203
705,33,6935.7488,10,6.8268248,45.259478,21.019201,32.456828,47.50345,50
3257,21,11398.723,13,9.0227167,30.597429,24.802907,32.641433,33.492451,163
2444,30,4247.8163,18,11.788007,17.67387,19.560411,27.434243,57.937663,200
717,32,6318.448,17,6.5696238,40.854696,20.756422,29.912105,46.29833,70
1923,34,7493.1292,13,8.3211472,29.28137,21.037325,29.370219,61.31064,214
1002,33,2675.2182,16,6.7554813,41.818042,17.625461,29.819656,50.858535,66
1850,35,6110.4393,16,9.9007455,24.366051,19.917728,32.678523,61.729705,162
725,30,6951.0343,14,7.7359769,32.480452,21.583696,31.632695,42.571297,58
1473,32,5405.429,14,9.1096007,24.474045,20.080019,32.284769,53.947475,95
360,33,7543.7788,12,7.6552308,34.440791,21.299684,31.091047,43.190042,51
1070,34,8317.0575,10,8.4984376,35.651304,21.619637,28.397477,54.031472,102
1774,33,5988.8753,17,7.6597302,32.09524,20.348501,29.687137,57.498188,157
1182,34,6285.8156,22,8.3655497,29.07683,20.230838,29.98462,55.128929,110
2490,37,3549.8352,16,7.7203005,26.563987,16.978936,28.068495,69.81148,123
984,34,4712.8089,10,7.8640929,32.54956,18.998463,32.733061,53.270186,87
273,41,5381.0903,17,7.6981468,37.000388,17.341458,32.032361,54.879042,50
661,35,5533.5713,13,7.1372797,28.792141,19.38602,30.957447,51.345124,66
2311,36,7205.1946,20,12.033853,22.097737,20.494049,32.235477,66.316074,292
1326,33,8127.3195,17,6.6897669,23.38713,21.820413,31.924143,53.615201,170
1705,37,5026.1307,12,7.0706066,32.223867,18.570452,28.081703,63.494752,97
2205,34,3890.6421,24,9.2574684,28.930342,18.436825,29.384499,62.115414,130
326,36,2088.8111,9,7.0721128,35.277505,15.808853,34.622767,47.865188,64
976,34,4147.2841,14,8.7589722,34.014819,18.551076,31.945615,52.99964,66
941,33,5607.5286,15,7.8722288,31.937411,19.951119,32.982961,51.148679,72
767,36,6727.6798,14,6.8867478,33.472931,20.159545,29.652253,53.576317,74
1277,39,5609.1203,18,7.0827329,26.719316,18.418554,32.477322,63.488762,121
2786,30,8408.4669,19,13.099483,15.038126,22.450488,26.16921,59.123509,500
1380,34,4892.9292,23,8.8067382,30.872767,19.326864,33.388845,55.744333,92
2481,37,2628.4009,24,8.7456197,31.166748,16.17567,28.580826,69.12314,132
945,35,6381.1652,14,8.319543,31.840917,20.168051,28.879982,53.7537,84
1414,32,5063.3772,17,7.2089128,26.025724,19.883414,30.834838,52.994872,117
895,37,8931.5731,18,8.8100189,36.533008,21.401171,33.369737,56.971749,97
1881,36,7967.5691,18,9.8303448,25.029086,21.068547,27.371233,63.137876,239
1229,33,5639.8104,18,7.3430714,27.921639,19.920151,31.030741,54.349038,107
1789,36,6912.0444,22,8.0685963,26.845135,20.159351,29.14226,63.608086,175
1952,28,6276.8379,12,8.3476412,24.816913,21.427886,30.09831,50.730136,180
1351,36,6192.9115,22,7.7662396,30.646116,19.597231,28.081589,60.307005,97
2153,34,10117.449,19,6.8323556,27.352056,22.753633,31.446042,61.965954,374
3698,35,5676.4126,25,6.4718426,19.453364,19.581428,26.177724,72.452331,511
1827,40,6714.004,16,9.0518683,23.72419,19.028308,26.598924,69.381987,171
1400,32,8311.0535,23,6.673641,27.305075,21.951471,31.074339,54.078601,176
2175,33,8589.3137,25,7.8401957,31.905451,21.996666,26.378308,60.905555,276
1450,32,6018.1466,26,10.091228,31.424944,20.435549,30.49557,54.479452,107
721,39,5142.403,14,8.3296592,26.856056,17.965132,33.241099,58.099356,66
1794,35,5925.0327,15,8.4487033,38.65322,19.629001,29.108202,62.268179,144
1405,30,5021.9588,15,8.1245109,35.742536,20.289861,29.392975,49.281657,80
1212,33,8084.5105,16,7.7874698,29.093969,21.762251,31.566536,52.889676,124
2531,34,7681.392,22,10.484257,23.252232,21.271929,33.009919,64.391138,343
3166,40,7281.3963,22,10.671216,21.714834,19.273602,26.782184,78.502896,444
1051,31,7189.2558,5,8.7542876,25.444475,21.577852,31.345883,47.801756,118
1486,35,4362.8313,8,11.642377,21.045216,18.465251,34.152142,59.206584,149
881,33,6474.2739,8,8.5219309,32.915632,20.683079,34.804244,49.723875,60
1963,33,10389.264,9,12.226906,25.859662,23.012974,28.554868,59.624396,452
263,33,6299.8742,14,7.6208963,33.622283,20.493584,31.147476,40.602614,41
2248,36,8704.6835,19,8.3025891,28.539994,21.492229,28.751629,66.035497,341
1576,36,2611.7484,6,8.1791374,39.34921,16.594658,32.381772,61.032517,84
1610,32,8942.9683,14,7.1965262,31.150584,22.317951,29.721782,55.87931,207
2467,31,8654.3781,14,8.6240903,31.12781,22.342889,30.095998,59.857042,385
1213,35,7427.3927,13,10.020103,25.407601,20.962526,30.596804,55.955509,134
1312,35,5281.1025,18,7.8438397,31.384834,19.176796,30.179189,58.115321,85
643,33,5075.3282,18,8.730038,36.064671,19.591321,30.999666,47.28538,63
476,36,8444.7069,16,10.649185,28.737652,21.297938,31.63774,50.043199,71
941,32,5322.157,14,6.7859359,33.124266,19.944544,30.225164,49.603149,69
1625,32,8752.9756,21,9.4346328,25.064597,22.364797,30.498325,54.452018,203
1039,35,9833.5791,19,9.4796717,26.213663,22.369246,30.768779,55.187586,168
614,36,3592.5852,8,8.8727984,27.220748,17.343147,33.950912,52.66102,32
2328,34,10083.261,19,7.8130683,24.912271,22.786184,28.206958,62.604724,430
936,35,5616.8902,14,9.5666715,33.188144,19.587893,30.8938,53.656451,73
1400,36,4904.0577,18,8.9721966,34.379844,18.64689,32.253125,60.119252,85
1408,37,9617.5298,13,10.307095,24.709585,21.770086,30.34199,62.211681,241
1231,33,7766.6782,18,10.127953,26.514844,21.456449,31.065611,53.961625,131
1719,38,8167.0566,14,10.32391,29.325787,20.567315,30.765232,66.227155,216
1221,25,11689.511,6,6.9421739,25.91098,24.660788,30.458916,39.711442,215
476,38,5151.1505,10,7.0227063,40.833547,18.273061,32.791333,53.265556,42
761,34,9172.0233,5,7.2705108,35.071191,22.093221,31.680475,51.187118,104
1595,38,5658.9892,18,7.7092973,29.738431,18.615728,32.135175,65.284095,131
649,37,6637.6933,14,7.1877863,32.00954,19.773499,31.00444,54.161685,66
1164,40,5028.0789,15,8.214228,29.960495,17.382914,28.410013,64.820304,77
807,32,7565.7681,9,7.0942251,37.633978,21.589715,30.762416,47.349176,68
688,29,8701.5085,6,8.9292857,33.909219,22.744502,32.132749,40.750443,84
765,35,8029.5883,15,7.6603741,39.028389,21.275986,29.142024,52.049038,79
1129,34,5597.5321,14,9.0582981,29.797633,19.68413,30.090257,54.828459,87
1540,35,4038.0098,16,10.050868,32.607818,18.260694,30.48327,59.177273,93
1324,37,6093.2765,16,6.8911327,37.388936,19.288654,32.667799,61.42411,134
2320,34,3276.5116,15,9.5919456,24.645847,17.899729,29.028219,62.781737,138
1233,35,5242.3825,12,7.9812756,28.245051,19.187667,32.223165,57.168433,92
534,30,3923.9934,7,8.7116953,32.746276,19.267274,30.208925,41.288829,50
1416,35,8220.6817,20,6.7572371,30.713711,21.323327,32.728909,58.969879,171
1462,41,7754.3043,21,9.8812769,26.357324,19.386506,31.789119,69.079322,170
1654,35,9463.7535,15,8.1980432,23.14141,22.166605,32.33124,60.315351,246
1806,34,3959.5729,13,8.202309,28.62876,18.373266,30.510504,60.126803,123
2533,32,7497.4324,16,9.7473757,23.04264,21.595272,34.22109,60.662405,346
1035,33,6325.7226,13,10.01511,28.971655,20.547305,28.809425,51.582917,72
1609,40,7812.0691,21,7.9765398,33.86962,19.792816,28.531063,68.354737,164
1399,31,7106.7733,15,9.2214626,25.939507,21.366547,28.735575,52.473573,133
1015,37,5384.0549,13,9.5123661,27.262733,18.84242,32.644907,57.831647,82
3486,37,8045.939,24,8.0824637,17.499923,20.748042,25.768653,75.073587,564
1225,37,74.237885,4,6.0212405,25.600498,12.886648,34.15404,60.84429,65
580,30,7034.523,11,6.7016226,42.097442,21.546001,33.288322,41.546719,48
3060,37,8430.1387,23,12.615063,16.711791,21.032079,32.717931,72.724672,527
1661,32,6992.6137,19,8.265785,27.958802,21.215743,30.394413,55.249433,160
715,41,9502.8135,15,9.0347674,39.508229,20.682981,31.923302,62.038215,97
1910,39,3964.6217,17,8.4780897,23.54794,16.885705,30.092967,68.310057,88
2524,38,8677.8489,27,9.0822129,23.268749,20.956913,30.223515,71.28471,366
832,35,3789.9279,6,11.194585,22.508888,18.058263,32.538978,52.497299,61
1511,38,4292.1378,26,9.1888396,31.069601,17.543821,31.58329,63.851217,89
1308,29,8123.5108,13,7.501935,32.047756,22.427772,32.314947,47.160369,137
694,33,7329.2483,5,7.0754115,40.412851,21.182268,32.901764,48.198722,67
2437,33,8352.5019,19,9.2713361,25.358754,21.843797,31.801998,62.633294,334
1397,35,4787.767,19,9.7852229,20.797728,18.976261,30.784166,57.584826,89
1837,34,5357.7279,9,7.554676,31.130244,19.667863,29.417381,59.452138,132
934,38,6461.0689,9,6.7713716,37.894428,19.418619,29.502829,58.715522,72
970,29,5310.8387,17,7.0460597,34.362259,20.509196,32.837991,45.089478,64
1652,38,5233.3015,19,6.9781279,30.690082,18.268879,30.737181,65.594322,134
1489,35,7044.6642,14,9.0921452,27.577711,20.620098,28.991996,58.867499,129
3148,34,4187.3764,20,7.3203606,25.30511,18.607077,28.701748,68.154643,278
1213,38,6101.5683,17,6.9732964,33.838822,19.174204,31.0417,61.139772,107
3579,39,6447.1469,26,14.059914,17.928437,18.966367,24.509751,78.739482,443
2773,34,5816.0102,15,12.180534,22.713933,20.003741,27.05032,65.501221,362
378,35,11256.702,13,9.7901735,35.479443,23.156209,33.093571,46.639691,91
470,32,3094.6529,7,6.9736184,40.126417,18.226571,31.885851,42.743344,44
1019,31,9515.4854,13,6.3197257,42.705081,22.93947,30.804434,47.579885,120
1275,37,6930.1494,16,9.7418466,30.248728,20.046301,31.295512,60.350378,105
1415,27,7344.4791,13,6.5487193,34.540413,22.266216,29.176437,44.398718,105
2105,35,7235.2266,16,8.7697041,28.355001,20.69519,29.652131,63.749314,235
930,34,8757.668,13,8.662225,36.304372,22.005367,32.205377,51.653577,112
931,31,4689.9473,15,7.7126024,40.856513,19.798663,32.777599,46.868569,47
1078,26,32455.105,13,8.662225,25.970465,22.564724,30.168339,21.821498,348
1264,29,5600.3423,14,7.0645913,27.912249,20.715136,34.767848,47.930891,86
1393,38,8316.5053,20,7.4014298,39.468183,20.774854,30.168339,63.054645,186
1624,34,5229.7109,19,10.138253,25.834377,19.413728,29.607982,58.893474,108
2314,39,8481.5394,15,9.9343453,23.781212,20.677166,29.978537,70.908205,351
1911,29,7318.1573,12,8.6102598,27.214409,21.949619,29.473459,51.917079,195
444,35,6893.7354,11,7.8986949,30.998019,20.371913,32.351503,48.483302,63
1978,29,8514.801,13,8.8265817,26.069721,22.680351,34.144621,52.047152,246
2081,34,7957.7465,22,10.707286,25.096041,21.337533,30.890348,62.451378,256
1924,39,7906.9703,19,9.1228373,26.062298,20.270554,29.697997,68.336967,235
2565,34,5880.1368,21,10.296057,27.44069,20.025059,34.795659,64.474144,251
1662,42,8257.4497,20,9.1816382,31.55332,19.513846,29.35888,71.938732,178
959,33,4960.9919,15,8.967896,28.879726,19.387046,28.751206,51.785986,74
1300,35,7456.4192,19,8.3002675,25.970465,20.818688,28.162543,57.931491,134
245,31,8012.2338,12,6.5060245,48.599363,22.033489,32.989659,36.218243,29
1783,39,4656.8842,19,8.9975439,24.969943,17.322077,30.062805,68.474613,113
1497,34,4231.997,21,8.6660134,27.172154,18.601691,30.54515,57.823553,105
1009,32,4110.6211,14,8.5193506,35.849026,19.016974,32.073389,50.096396,51
970,37,5739.0999,20,9.7311545,31.120571,19.044455,29.988825,57.901906,78
735,36,6200.3065,10,7.3303678,39.921844,19.619487,30.932501,54.095565,54
1373,35,3669.7758,15,7.3369395,24.482154,17.825332,29.273432,58.38849,73
