request method,input size,response code,duration
1,878,407,732
3,981,100,438
3,38,403,711
3,584,301,476
0,1103,204,341
3,828,505,827
1,651,105,320
0,217,505,681
0,186,106,549
0,1111,209,341
3,542,300,456
3,34,401,645
0,236,505,690
1,618,104,304
0,196,101,538
3,336,304,609
0,535,503,218
0,987,509,407
0,65,100,580
0,528,504,262
3,603,400,817
1,745,505,300
3,761,206,390
2,978,106,254
3,533,104,414
3,52,403,696
1,368,100,661
0,920,108,841
2,543,206,265
1,532,402,126
0,1039,205,341
0,374,503,294
2,575,207,311
1,329,404,556
3,803,209,406
1,596,402,129
0,350,502,301
2,969,107,254
0,1037,208,323
0,233,109,492
3,91,402,637
3,548,101,352
3,762,204,356
3,749,207,372
1,344,208,402
0,101,106,603
2,618,505,903
3,581,305,471
1,864,407,711
3,194,408,182
3,827,507,773
2,546,200,320
1,539,400,129
1,275,100,859
0,880,108,830
3,118,400,213
1,709,508,249
1,905,406,680
0,437,504,315
2,577,203,242
0,377,504,273
2,493,207,262
0,981,506,471
3,285,305,628
2,564,509,478
0,401,505,321
0,574,509,201
3,356,304,630
3,570,407,837
3,707,409,324
3,646,401,299
1,318,408,522
0,95,102,555
0,294,500,631
3,228,306,1046
3,751,401,747
1,578,405,60
1,237,108,860
2,721,104,459
0,605,503,238
3,587,407,822
1,339,405,555
3,268,306,720
0,33,108,639
3,608,402,850
3,305,306,638
0,517,503,181
3,348,302,731
3,81,407,639
1,557,409,81
3,160,400,183
2,1043,104,308
1,762,504,217
0,1066,201,321
1,656,107,290
3,628,308,425
2,579,504,504
3,603,303,438
3,938,101,456
3,176,402,234
1,394,204,363
0,198,509,712
1,574,108,314
1,708,506,222
0,902,109,906
3,56,402,636
0,879,109,919
1,556,404,55
1,265,108,864
3,315,306,746
3,585,106,389
3,310,300,609
0,200,105,524
3,599,301,428
0,274,508,627
0,946,509,487
1,391,100,678
0,430,507,227
0,986,509,445
3,333,304,609
0,264,109,522
2,1033,102,247
2,631,508,869
0,998,506,410
3,350,305,627
2,565,505,881
1,202,106,800
2,616,506,496
2,727,105,470
2,512,206,305
1,444,109,687
0,27,106,630
0,212,105,523
0,526,506,222
2,566,501,457
2,548,503,523
1,762,507,271
0,909,106,852
1,639,108,268
3,331,309,625
0,986,502,482
3,494,105,432
0,974,503,434
3,508,102,424
3,24,406,680
3,796,503,786
2,1023,107,291
0,212,504,640
3,752,405,740
1,634,103,134
3,301,304,683
3,367,304,617
0,1068,202,348
2,585,501,844
0,184,106,545
2,617,505,457
0,1084,208,383
3,639,401,322
3,120,406,164
0,919,500,426
0,529,500,222
1,460,106,741
0,997,506,497
3,936,107,483
0,603,503,217
3,300,309,615
0,1047,206,372
3,615,302,406
1,373,406,542
1,731,507,296
0,1091,200,343
3,572,401,839
1,617,106,147
2,558,509,876
0,19,106,557
2,742,100,502
3,50,406,712
1,408,101,700
0,926,107,891
1,326,200,385
1,553,105,108
3,750,403,746
2,627,500,839
1,338,206,413
3,693,406,788
3,345,305,671
1,380,400,518
3,728,204,373
0,217,501,638
0,935,502,432
0,836,109,908
1,908,401,762
3,616,304,459
1,229,101,823
3,312,303,718
0,1073,203,359
3,735,203,382
3,557,303,451
3,582,102,398
3,779,509,747
1,431,100,724
3,559,302,388
2,620,500,446
0,1118,203,358
0,436,501,299
0,1080,209,372
0,35,104,641
0,220,101,536
3,637,409,269
3,364,302,671
3,729,206,381
3,535,106,429
3,953,101,442
2,525,502,430
1,643,101,313
1,912,400,666
2,589,509,524
1,369,203,419
2,564,502,431
2,598,502,491
1,443,106,682
3,304,306,651
0,222,107,481
0,355,507,247
2,512,209,286
3,181,401,225
1,614,102,151
3,737,400,810
3,729,201,353
0,966,502,491
3,331,308,699
3,754,502,795
3,601,307,457
0,1076,203,396
3,261,309,1050
1,421,106,679
0,861,109,841
3,809,504,811
3,300,307,1037
3,775,202,411
1,330,204,372
1,888,402,666
3,948,102,424
3,759,200,390
3,88,403,648
3,162,409,175
1,320,401,546
1,592,103,263
0,276,505,712
2,549,204,291
1,376,105,650
1,361,409,559
2,718,109,473
0,370,504,257
3,775,500,775
0,364,506,306
1,737,507,246
3,591,409,865
3,286,300,694
0,275,508,659
1,221,102,815
3,722,201,369
0,369,501,261
1,366,203,340
2,576,509,832
0,211,504,713
2,781,108,432
1,236,104,772
1,573,101,111
3,547,106,400
3,369,301,654
3,703,403,734
1,407,400,558
3,745,200,393
3,157,401,193
3,296,306,616
2,634,506,895
2,533,503,434
1,720,505,241
0,901,108,857
1,323,205,392
0,264,103,525
3,362,300,614
3,239,309,985
0,82,102,639
2,503,206,314
1,621,103,115
0,910,508,482
0,255,502,705
3,780,506,840
2,960,100,248
0,364,508,249
3,750,208,411
2,747,102,428
3,153,409,167
0,565,505,190
3,658,408,242
3,915,105,423
2,562,509,880
0,957,505,450
1,270,103,802
0,560,507,185
3,569,307,385
3,603,300,425
2,502,200,251
3,363,307,671
2,562,504,882
0,263,508,618
1,384,405,478
0,1081,200,393
3,501,103,357
1,398,107,739
1,199,101,796
3,308,304,606
2,1023,103,298
1,780,505,258
1,774,506,259
3,338,300,605
0,273,505,685
1,555,100,129
3,604,301,455
0,927,504,463
1,199,104,786
3,119,402,232
1,400,203,369
2,554,507,906
3,551,403,881
3,727,205,332
1,867,404,707
1,643,109,255
2,613,509,861
0,85,106,643
0,843,100,900
1,521,401,131
0,921,500,452
0,253,503,647
2,957,108,277
2,583,503,439
2,529,500,467
1,270,105,836
1,210,102,767
1,605,105,265
3,498,104,409
1,573,103,100
3,582,304,424
2,742,105,441
1,360,203,374
1,192,109,857
3,127,401,161
3,18,402,653
0,253,106,561
0,199,108,509
3,598,302,387
3,145,401,227
1,281,103,856
1,560,106,315
3,541,108,447
3,752,201,415
3,808,201,420
0,594,501,256
3,651,408,240
0,91,108,643
1,621,102,241
1,953,401,764
1,330,207,408
0,255,509,629
0,938,501,418
3,663,408,329
2,570,508,430
1,337,208,373
1,539,404,138
1,404,200,350
1,229,107,865
3,540,100,382
3,686,402,729
0,963,500,413
1,876,403,689
1,563,101,74
1,247,101,866
3,565,309,442
1,621,102,105
3,86,400,629
1,311,202,344
0,1025,207,350
3,675,409,787
1,762,509,210
3,609,409,888
0,79,106,575
2,791,104,463
1,566,100,320
1,628,100,250
2,607,503,467
1,509,406,137
3,273,309,768
1,388,402,528
1,620,104,259
2,742,109,433
1,324,408,490
0,846,107,845
3,35,400,631
2,599,503,914
3,547,106,424
2,795,103,510
3,694,400,795
3,343,305,697
3,677,403,316
3,699,404,279
3,135,408,194
3,743,407,742
2,628,508,866
1,421,107,732
1,703,504,246
3,732,404,812
2,559,507,467
1,555,106,138
3,82,402,676
0,386,508,275
1,615,105,296
1,910,407,747
1,649,104,247
0,607,500,243
0,366,500,249
3,736,402,810
0,1112,203,345
1,875,400,695
0,25,101,643
1,589,108,291
0,995,509,434
0,957,506,476
3,951,105,441
2,735,108,506
0,907,107,907
0,929,506,452
1,645,101,83
3,251,307,1051
3,629,406,295
0,926,503,450
3,802,202,337
0,890,109,910
3,578,106,381
1,202,105,815
0,1116,200,329
3,632,407,799
2,541,205,333
1,423,104,648
1,517,401,142
1,623,106,66
0,384,501,304
0,66,109,614
1,382,407,519
3,591,304,383
2,533,202,261
2,510,203,259
3,364,307,643
3,577,400,838
3,797,203,334
3,792,208,400
3,554,107,442
3,44,405,694
1,656,107,239
3,923,100,417
3,342,308,682
2,1000,103,245
0,904,505,412
1,443,102,656
3,791,501,747
3,636,406,263
3,907,101,410
3,662,404,293
0,261,507,675
2,606,508,843
1,689,508,227
1,237,102,855
0,215,502,637
0,74,106,612
2,552,507,908
2,616,502,870
2,762,107,453
2,599,506,874
1,549,404,52
3,760,500,767
0,905,509,431
0,1023,202,338
1,559,400,61
1,756,503,268
2,982,107,272
3,598,403,845
0,237,506,682
2,972,101,318
1,332,407,476
3,781,508,845
1,614,103,132
2,723,104,456
3,698,405,762
0,849,101,864
2,587,502,902
3,533,105,375
3,688,405,783
3,747,503,801
2,754,104,475
3,756,400,737
0,966,507,477
0,560,507,246
3,311,302,677
1,569,107,260
0,39,108,574
0,1085,201,382
3,269,304,997
3,341,300,760
0,187,100,498
0,592,507,211
3,185,403,153
1,606,102,142
1,595,102,139
3,955,100,428
1,734,503,266
0,404,509,325
3,773,201,421
3,709,405,738
3,333,300,613
0,583,506,239
1,595,107,256
3,540,302,440
2,791,101,445
3,820,505,780
3,806,204,360
3,580,402,853
0,410,505,282
3,927,102,401
0,375,509,315
2,786,107,506
1,618,109,72
0,426,506,311
3,717,405,758
3,704,408,332
1,324,400,570
1,721,501,299
3,302,301,697
2,968,104,273
3,302,308,1009
3,803,502,831
3,626,307,475
1,571,106,122
3,233,300,1030
3,965,108,433
2,545,507,497
3,717,401,332
3,255,306,992
3,286,307,1035
2,557,208,296
0,227,109,520
3,534,304,462
3,557,306,411
1,394,207,331
2,1004,101,238
2,807,109,443
0,184,103,517
3,291,308,702
1,655,109,307
3,738,203,337
3,206,402,170
0,264,109,485
1,924,405,710
0,594,508,267
1,599,108,250
2,1011,104,292
1,518,408,135
0,254,102,563
0,1096,209,356
0,357,507,322
2,495,202,290
3,752,207,354
0,895,107,878
0,85,101,642
2,540,506,872
3,713,402,283
1,318,406,487
2,793,105,509
0,1031,203,375
2,730,105,437
2,1020,105,229
1,286,100,800
0,214,105,510
1,917,401,755
2,553,507,482
3,773,503,760
3,565,105,425
3,788,204,417
1,372,202,416
0,882,106,854
1,388,408,522
1,412,405,543
1,711,509,233
1,550,403,116
0,866,101,903
3,164,401,168
2,556,208,270
2,565,205,297
3,598,403,853
3,354,303,639
3,714,204,384
2,527,209,272
3,46,402,634
1,335,402,525
1,213,102,854
2,727,106,519
3,306,303,621
1,323,204,346
1,336,206,335
0,91,103,566
1,721,507,221
1,548,101,83
1,645,108,288
2,1025,106,233
0,1078,205,393
1,645,108,64
0,594,500,198
1,568,109,305
1,556,104,89
2,711,101,458
1,547,406,76
0,909,102,857
3,953,108,432
1,887,405,681
1,381,104,742
3,644,401,262
0,977,509,411
1,876,409,712
2,552,501,885
0,229,108,499
2,751,104,508
0,59,104,626
0,252,107,532
2,601,501,892
0,831,107,889
2,729,103,434
3,586,403,860
3,313,305,1048
3,309,303,1047
3,597,407,867
3,26,406,629
3,290,305,697
0,261,507,639
1,580,402,75
0,381,502,244
3,776,206,329
1,409,201,396
1,778,506,232
1,608,103,120
1,626,106,141
3,338,302,756
0,44,102,618
1,335,407,564
1,757,500,210
1,739,500,247
2,546,506,923
1,370,400,516
1,444,108,691
1,546,101,111
3,64,408,648
0,943,506,470
0,248,102,545
3,122,407,231
3,782,509,828
3,770,201,366
3,325,302,699
1,285,103,862
3,750,508,764
3,733,203,386
0,196,105,560
1,319,407,527
0,1035,204,395
1,565,400,70
3,749,406,738
3,364,304,754
1,548,102,124
0,979,500,476
3,959,103,414
2,748,106,437
0,254,104,515
2,999,101,232
1,258,103,831
0,522,504,178
2,531,501,450
1,350,206,374
3,326,302,703
0,839,100,832
0,207,505,659
0,563,504,257
1,926,408,691
1,587,105,130
3,620,407,841
1,354,201,391
3,749,503,818
3,604,403,890
3,321,306,652
3,17,402,637
3,534,109,364
3,509,105,353
1,240,101,822
1,690,501,266
0,54,100,570
1,584,103,140
3,647,402,294
3,585,300,408
3,687,405,754
3,546,403,824
0,938,507,409
3,563,405,853
3,14,407,673
2,565,505,911
1,417,405,560
1,393,202,403
0,977,504,476
0,967,500,488
3,682,405,317
1,597,102,314
3,791,504,761
2,598,503,904
3,118,405,221
3,174,408,227
3,565,401,885
3,365,309,635
0,58,103,578
1,322,201,381
1,764,504,305
3,910,103,456
3,803,209,385
2,748,106,432
1,686,506,221
0,857,105,830
1,923,406,714
3,958,105,445
1,784,501,239
1,924,403,726
3,534,107,432
1,544,407,110
3,14,407,646
1,459,108,663
3,692,403,238
0,1071,201,327
3,615,307,408
1,899,403,693
3,318,301,697
0,591,503,245
1,450,106,682
3,611,401,880
3,335,301,737
3,660,402,251
1,238,107,811
0,213,107,519
2,594,506,874
3,739,406,776
1,321,405,505
0,285,509,704
3,559,102,427
1,384,208,337
3,755,505,840
1,526,401,118
1,936,401,682
1,438,109,666
1,873,406,735
2,628,501,832
3,340,303,700
2,509,206,336
0,362,504,326
3,790,200,355
3,734,401,792
3,371,301,608
3,749,408,762
3,158,400,224
2,557,500,524
3,545,104,366
1,906,401,726
0,412,509,266
3,722,204,386
3,113,406,658
3,630,406,809
1,899,406,731
3,529,101,443
0,908,502,444
3,596,309,455
1,428,102,663
1,944,409,713
0,980,503,487
3,595,304,402
0,203,104,518
0,413,507,273
3,284,302,651
2,560,506,473
0,1038,202,372
1,388,402,490
0,861,102,826
3,272,300,1022
0,192,106,538
2,499,203,251
1,392,103,715
1,923,403,669
3,753,200,382
2,566,505,919
2,568,509,837
1,358,202,394
2,739,104,513
1,516,409,102
2,563,505,465
1,364,403,501
3,572,405,834
1,696,508,273
1,551,402,89
0,292,507,623
3,154,408,218
0,515,504,198
3,720,409,762
3,568,408,822
3,316,301,687
3,804,208,412
3,571,101,383
1,728,505,221
3,691,404,817
1,770,500,247
1,462,103,713
2,739,105,440
3,573,405,814
0,400,505,294
1,237,108,803
3,171,401,230
3,291,301,687
1,561,105,311
3,170,406,202
3,635,403,323
1,414,402,522
3,159,408,154
2,595,504,450
2,552,500,432
0,938,500,418
0,958,506,493
3,586,308,388
3,166,404,168
3,90,401,705
1,528,407,81
0,65,101,595
3,513,106,448
1,335,402,526
1,591,407,69
3,722,400,784
0,927,509,435
1,199,101,826
0,549,503,218
2,539,200,261
2,612,507,923
2,765,109,503
2,599,503,512
3,617,402,881
3,256,307,1031
1,385,101,674
2,563,502,482
2,551,504,493
3,289,305,676
2,592,504,881
3,79,400,670
0,267,101,531
0,376,509,278
3,603,308,411
0,58,103,600
1,592,100,265
3,724,209,421
3,34,406,676
3,163,401,210
1,248,109,843
2,559,501,513
0,851,108,843
3,766,203,384
0,405,503,291
3,748,505,797
1,402,209,346
3,342,304,657
1,317,208,329
3,548,408,861
2,578,204,331
3,603,309,427
0,214,505,629
1,379,200,360
0,575,507,264
2,1050,109,251
3,344,302,643
3,950,108,408
1,250,105,836
3,16,404,665
0,553,503,181
0,62,108,626
0,558,503,260
2,597,506,476
3,732,203,381
1,594,102,75
0,559,503,191
3,745,505,824
3,313,301,1059
1,250,107,836
3,600,309,397
1,369,105,664
1,322,204,396
0,234,507,654
1,760,502,227
3,538,101,418
3,766,402,759
1,560,102,73
3,315,305,753
2,1042,108,288
1,388,103,693
1,409,401,476
3,591,400,854
3,358,304,641
3,632,308,406
3,137,407,142
0,1076,200,327
3,787,209,332
0,214,109,516
3,286,305,1067
3,902,108,477
2,754,101,441
3,625,406,313
0,272,107,497
1,318,409,572
0,434,505,240
1,389,102,686
2,743,107,449
1,906,407,684
1,755,502,238
0,916,106,869
1,443,107,705
3,303,305,1059
3,693,406,316
1,356,200,332
3,184,407,196
0,1074,203,395
1,606,106,90
3,301,308,1041
0,61,109,615
0,369,501,253
0,519,509,184
1,351,409,486
1,285,106,859
1,379,209,324
3,772,508,757
0,921,503,490
3,939,100,409
0,258,105,569
3,714,204,357
1,627,107,289
1,629,102,85
2,762,108,427
2,628,505,846
2,525,204,276
3,706,407,718
1,441,100,698
1,758,502,296
1,923,401,762
0,956,503,405
0,869,106,825
3,546,404,889
3,581,305,469
0,543,507,188
1,278,108,831
3,290,305,1077
2,962,108,232
0,1039,200,301
3,57,407,690
3,761,200,425
3,308,300,686
2,739,107,459
3,626,401,852
2,802,103,503
3,643,405,247
0,42,105,557
1,638,105,290
0,265,106,495
0,908,508,404
3,60,408,672
3,602,404,816
1,410,407,536
2,486,201,296
3,574,309,447
3,806,501,836
3,35,405,631
3,769,502,809
2,554,206,305
1,642,109,299
3,609,401,812
3,110,408,723
0,1022,204,320
0,979,502,443
3,567,404,808
3,192,409,186
2,1023,104,282
3,567,104,387
1,573,101,102
1,615,103,305
1,420,106,648
0,261,508,648
2,803,108,441
3,688,408,267
1,635,101,309
3,324,300,705
0,964,508,430
3,687,405,321
2,526,202,322
3,584,104,409
1,390,201,344
0,199,507,668
3,747,404,767
3,766,503,829
0,27,105,581
2,992,108,230
0,1106,206,385
1,374,207,328
0,200,500,675
1,933,408,763
3,952,104,416
1,405,207,374
2,597,503,490
1,632,109,244
0,991,507,404
0,570,506,260
3,934,105,482
3,553,308,399
1,781,501,295
3,931,106,406
2,771,100,434
3,649,406,245
3,926,108,484
1,376,109,689
0,853,100,873
3,517,109,413
2,487,201,328
0,987,504,471
3,619,406,279
2,985,107,251
1,872,408,685
2,593,502,462
0,1081,205,299
3,295,304,667
1,652,101,298
3,681,406,726
1,756,504,247
3,740,201,344
2,533,209,293
2,549,501,909
3,624,402,322
3,91,408,712
3,817,509,790
1,205,102,789
3,952,104,459
1,937,400,735
2,758,103,453
0,599,505,217
3,285,301,766
2,618,505,878
1,517,407,54
0,208,106,553
1,338,205,373
3,753,203,358
0,926,104,850
1,253,105,794
0,75,107,591
0,222,505,684
2,569,506,518
2,954,102,265
3,761,204,380
3,718,404,780
3,305,303,723
0,515,500,175
2,631,500,887
1,642,102,258
1,596,102,143
0,1110,203,367
1,592,408,101
2,984,102,258
1,557,404,137
0,268,507,673
3,324,309,729
3,793,500,817
2,968,103,310
3,568,103,376
3,292,308,765
3,513,101,404
3,797,204,379
0,388,501,264
1,751,502,242
1,395,108,643
0,961,504,446
0,267,509,685
1,416,102,664
1,927,400,710
1,420,107,696
0,1059,200,298
3,797,203,401
3,359,306,730
0,985,506,447
0,233,500,629
3,697,404,322
2,564,508,501
3,674,402,243
2,718,106,509
0,13,104,644
3,965,103,402
3,897,107,437
3,719,206,370
1,462,106,653
3,721,401,758
0,22,103,569
1,604,109,251
3,759,505,787
3,276,308,691
0,36,103,640
0,847,102,909
0,246,503,707
3,694,408,746
3,145,401,163
3,69,403,654
3,758,208,382
2,796,106,459
1,619,105,281
3,674,404,730
3,22,403,707
3,298,300,721
2,584,504,925
1,543,402,58
0,100,101,649
2,546,205,263
3,301,300,682
1,749,508,280
2,505,207,335
0,907,102,883
3,674,405,298
0,372,506,298
3,758,402,801
3,683,402,726
3,275,300,757
3,130,408,158
0,561,509,217
1,596,106,301
3,502,109,367
3,243,306,983
1,694,507,278
0,870,103,849
3,931,106,439
1,395,102,726
1,542,404,78
2,773,107,483
1,550,109,127
0,193,108,518
3,753,403,721
1,646,103,316
3,538,405,838
0,881,105,828
1,908,401,700
3,622,302,434
3,558,300,405
0,354,504,293
2,535,504,463
3,311,303,1049
3,20,401,671
1,416,403,521
0,238,107,526
3,539,309,414
0,24,102,559
0,531,505,214
0,65,106,619
3,769,503,796
1,889,407,680
3,270,303,1050
3,660,406,252
3,670,402,787
1,324,201,354
3,567,405,860
0,378,502,318
2,592,505,450
1,358,406,514
3,721,207,401
3,495,108,436
3,334,309,650
1,551,405,95
0,577,507,172
3,904,109,461
0,9,100,618
0,930,503,400
1,399,106,704
3,767,503,792
1,713,507,278
1,869,404,704
1,260,100,780
2,574,208,310
3,795,508,805
2,618,508,889
0,192,107,559
2,712,101,504
0,960,500,400
0,944,503,477
2,613,507,895
3,810,508,817
2,603,501,876
3,47,400,705
3,234,304,990
0,539,506,209
3,284,308,1016
0,946,500,412
1,579,108,115
1,555,409,106
0,210,502,701
1,354,201,336
2,788,102,520
0,379,502,286
0,222,104,511
0,279,105,523
0,971,501,434
3,896,108,467
0,910,104,908
1,377,408,521
0,438,504,245
3,935,102,418
3,299,300,717
1,414,408,513
0,205,508,696
3,122,408,184
1,428,104,698
1,601,406,105
3,186,405,225
1,244,107,862
1,325,206,361
2,977,102,277
1,636,103,312
0,204,100,553
2,562,507,472
2,507,205,330
3,50,400,674
3,321,302,633
1,359,408,573
1,699,501,253
3,564,408,887
1,752,501,263
0,524,507,263
2,547,506,500
3,285,309,673
3,964,102,483
0,965,505,412
3,715,404,275
1,586,402,111
1,391,206,323
0,400,504,303
1,526,401,119
3,609,304,462
1,571,109,260
0,890,107,891
2,788,104,443
3,753,402,722
3,549,103,416
3,809,205,357
3,359,303,712
0,17,103,638
1,205,101,791
0,261,506,636
1,578,108,255
1,461,100,734
3,212,400,189
1,525,403,120
1,380,204,398
2,730,109,438
3,782,205,396
3,615,309,476
3,620,402,267
1,860,406,732
3,149,405,227
0,184,104,548
3,172,409,198
2,633,502,843
1,340,407,554
1,354,401,530
3,227,309,1051
3,648,408,243
3,244,305,1046
0,256,508,706
1,348,205,376
0,513,501,203
3,780,507,764
0,602,502,238
1,398,200,328
3,664,408,236
1,218,106,826
0,903,106,924
0,364,508,325
0,254,109,522
3,276,301,687
3,350,305,708
0,538,504,264
3,712,400,755
1,335,206,342
1,195,109,824
0,536,504,236
0,902,109,862
3,229,307,987
0,912,507,406
3,273,308,709
3,693,400,291
2,779,102,423
2,491,207,249
1,402,205,322
1,727,500,251
3,572,309,392
1,773,509,238
3,802,201,395
3,539,302,475
3,752,204,349
3,590,102,399
0,965,508,417
3,537,106,362
3,978,107,456
2,604,501,860
1,573,107,328
3,831,502,773
1,935,401,730
0,1085,207,392
0,561,502,202
1,228,102,786
3,705,402,240
0,529,508,262
0,351,503,252
3,88,401,658
1,573,403,119
0,74,103,596
0,989,509,491
1,863,406,701
2,587,506,890
1,956,406,745
1,328,407,544
2,1035,101,283
1,750,508,259
3,700,405,817
0,291,508,668
3,629,401,800
2,1008,106,247
0,911,504,477
2,1019,106,268
1,920,402,696
2,611,509,891
0,241,504,671
1,321,202,355
3,272,301,1055
0,1090,205,301
3,306,302,657
1,568,100,325
3,932,102,424
0,251,509,677
1,433,109,707
2,630,506,925
1,423,102,711
3,301,303,1033
2,548,502,878
1,312,200,343
2,563,201,261
1,392,400,565
1,760,503,260
1,709,501,245
0,258,101,493
1,778,502,239
2,491,205,315
3,528,108,440
3,236,308,1064
3,522,100,434
0,558,503,209
1,600,106,305
3,607,409,894
1,687,505,272
3,758,509,746
3,768,503,789
3,564,409,871
0,419,506,273
1,935,405,668
0,240,502,623
3,587,108,414
3,243,303,1068
3,676,405,266
3,127,402,198
2,553,502,525
2,606,505,915
3,676,407,289
3,100,408,686
1,234,107,858
0,363,502,297
0,1038,202,332
2,542,507,455
1,582,106,103
3,264,302,1065
1,408,400,531
3,673,400,323
0,50,103,604
0,438,508,319
3,586,402,801
0,1083,207,350
1,569,100,128
1,885,402,733
3,309,308,701
3,793,505,830
3,627,402,881
1,379,204,349
2,723,109,466
0,919,509,414
2,800,103,426
0,276,502,710
1,910,407,749
1,947,407,751
2,556,508,855
3,358,302,612
3,756,204,371
0,25,109,574
3,322,309,687
2,786,103,487
3,731,409,760
3,705,409,241
2,751,101,448
0,982,506,480
0,890,103,922
0,1116,209,331
3,214,406,219
1,778,509,225
0,275,102,562
3,247,306,1035
1,753,504,244
2,567,503,839
0,71,106,595
3,545,108,368
1,419,103,721
2,530,502,487
1,566,109,95
3,289,306,691
0,850,102,877
0,911,501,444
1,730,509,294
3,753,502,839
3,351,302,745
0,82,101,651
3,249,305,1028
0,49,101,556
1,393,201,390
2,515,200,265
0,297,505,697
2,540,500,447
3,750,208,389
1,737,503,272
2,587,501,875
3,643,405,262
3,358,309,658
1,860,407,705
0,924,107,907
0,1091,208,333
3,578,101,398
1,335,402,540
3,758,507,810
